,amount,city,committee_name,employer,filed_date,id_number,name_of_contributor,occupation,payment_type,position,state,transaction_date,transaction_number,zip
307,3000000.0,BURLINGAME,SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS,,4/30/2020,880873.0,CALIFORNIA TEACHERS ASSOCIATION ISSUES PAC,,MONETARY,support,CA,2/18/2020,2470948 - VVBNQQHVTK6,94010-4583
148,2500000.0,BURLINGAME,SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS,,1/31/2020,880873.0,CALIFORNIA TEACHERS ASSOCIATION ISSUES PAC,,MONETARY,support,CA,12/27/2019,2443775 - VVBNQQC9DA4,94010-4583
404,2500000.0,SACRAMENTO,SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS,,4/30/2020,960895.0,SEIU CALIFORNIA STATE COUNCIL (NONPROFIT 501 (C)(5)),,MONETARY,support,CA,3/9/2020,2470948 - VVBNQQNENB0,95814-3939
4,1000000.0,REDWOOD CITY,CHAN ZUCKERBERG ADVOCACY (NONPROFIT 501(C)(4)),,10/31/2019,,"CHAN ZUCKERBERG INITIATIVE, LLC",,MONETARY,support,CA,8/22/2019,2420018 - VVBT5PJD5R6,94063-1832
127,1000000.0,SACRAMENTO,SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS,,1/31/2020,960895.0,SEIU CALIFORNIA STATE COUNCIL (NONPROFIT 501 (C)(5)),,MONETARY,support,CA,12/5/2019,2443775 - VVBNQQAR224,95814-3939
73,1000000.0,PALO ALTO,SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS,,10/31/2019,1405857.0,CHAN ZUCKERBERG ADVOCACY (NONPROFIT 501(C)(4)),,MONETARY,support,CA,8/22/2019,2420008 - VVBNQPHK7Q8,94301-1546
17,500000.0,SACRAMENTO,SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS,,3/27/2020,960895.0,SEIU CALIFORNIA STATE COUNCIL ISSUES COMMITTEE,,MONETARY,support,CA,5/16/2019,2400012 - VVBNQKMM1R3,95814-3407
2,500000.0,REDWOOD CITY,CHAN ZUCKERBERG ADVOCACY (NONPROFIT 501(C)(4)),,4/30/2019,,"CHAN ZUCKERBERG INITIATIVE, LLC",,MONETARY,support,CA,2/21/2019,2381141 - VVBT5HQXPH5,94063-1832
64,500000.0,BURLINGAME,SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS,,10/31/2019,880873.0,CALIFORNIA TEACHERS ASSOCIATION ISSUES PAC,,MONETARY,support,CA,7/1/2019,2420008 - VVBNQN9MHG6,94010-4583
1,315000.0,PALO ALTO,"MILLION VOTER PROJECT ACTION FUND, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",,4/30/2019,1405857.0,CHAN ZUCKERBERG ADVOCACY (NONPROFIT 501(C)(4)),,MONETARY,support,CA,2/21/2019,2381380 - VSH3JHKJ094,94301-1546
